Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Oslo - Blindern;SN18700;16.01.2025 13:00;3,1
Oslo - Blindern;SN18700;16.01.2025 14:00;2,8
Oslo - Blindern;SN18700;16.01.2025 15:00;2,3
Oslo - Blindern;SN18700;16.01.2025 16:00;2,4
Oslo - Blindern;SN18700;16.01.2025 17:00;1,9
Oslo - Blindern;SN18700;16.01.2025 18:00;1,8
Oslo - Blindern;SN18700;16.01.2025 19:00;1,7
Oslo - Blindern;SN18700;16.01.2025 20:00;1,4
Oslo - Blindern;SN18700;16.01.2025 21:00;1,3
Oslo - Blindern;SN18700;16.01.2025 22:00;1,6
Oslo - Blindern;SN18700;16.01.2025 23:00;2
Oslo - Blindern;SN18700;17.01.2025 00:00;2,2
Oslo - Blindern;SN18700;17.01.2025 01:00;2,2
Oslo - Blindern;SN18700;17.01.2025 02:00;2,5
Oslo - Blindern;SN18700;17.01.2025 03:00;2,6
Oslo - Blindern;SN18700;17.01.2025 04:00;2,7
Oslo - Blindern;SN18700;17.01.2025 05:00;2,7
Oslo - Blindern;SN18700;17.01.2025 06:00;2
Oslo - Blindern;SN18700;17.01.2025 07:00;1,8
Oslo - Blindern;SN18700;17.01.2025 08:00;1,8
Oslo - Blindern;SN18700;17.01.2025 09:00;2,3
Oslo - Blindern;SN18700;17.01.2025 10:00;2,5
Oslo - Blindern;SN18700;17.01.2025 11:00;2,9
Oslo - Blindern;SN18700;17.01.2025 12:00;3,5
Oslo - Blindern;SN18700;17.01.2025 13:00;3,7
Oslo - Blindern;SN18700;17.01.2025 14:00;3,6
Oslo - Blindern;SN18700;17.01.2025 15:00;3,7
Oslo - Blindern;SN18700;17.01.2025 16:00;3,1
Oslo - Blindern;SN18700;17.01.2025 17:00;2,2
Oslo - Blindern;SN18700;17.01.2025 18:00;1,1
Oslo - Blindern;SN18700;17.01.2025 19:00;1,5
Oslo - Blindern;SN18700;17.01.2025 20:00;1
Oslo - Blindern;SN18700;17.01.2025 21:00;0,4
Oslo - Blindern;SN18700;17.01.2025 22:00;0,6
Oslo - Blindern;SN18700;17.01.2025 23:00;-0,2
Oslo - Blindern;SN18700;18.01.2025 00:00;0,3
Oslo - Blindern;SN18700;18.01.2025 01:00;-0,2
Oslo - Blindern;SN18700;18.01.2025 02:00;0,2
Oslo - Blindern;SN18700;18.01.2025 03:00;-0,2
Oslo - Blindern;SN18700;18.01.2025 04:00;-1
Oslo - Blindern;SN18700;18.01.2025 05:00;-1,3
Oslo - Blindern;SN18700;18.01.2025 06:00;-1,1
Oslo - Blindern;SN18700;18.01.2025 07:00;-0,2
Oslo - Blindern;SN18700;18.01.2025 08:00;-0,3
Oslo - Blindern;SN18700;18.01.2025 09:00;0,5
Oslo - Blindern;SN18700;18.01.2025 10:00;1,6
Oslo - Blindern;SN18700;18.01.2025 11:00;3,7
Oslo - Blindern;SN18700;18.01.2025 12:00;5
Oslo - Blindern;SN18700;18.01.2025 13:00;5,3
Oslo - Blindern;SN18700;18.01.2025 14:00;6,7
Oslo - Blindern;SN18700;18.01.2025 15:00;6
Oslo - Blindern;SN18700;18.01.2025 16:00;4,2
Oslo - Blindern;SN18700;18.01.2025 17:00;3,9
Oslo - Blindern;SN18700;18.01.2025 18:00;3,9
Oslo - Blindern;SN18700;18.01.2025 19:00;4
Oslo - Blindern;SN18700;18.01.2025 20:00;4
Oslo - Blindern;SN18700;18.01.2025 21:00;3,9
Oslo - Blindern;SN18700;18.01.2025 22:00;3,9
Oslo - Blindern;SN18700;18.01.2025 23:00;3,7
Oslo - Blindern;SN18700;19.01.2025 00:00;3,4
Oslo - Blindern;SN18700;19.01.2025 01:00;3,3
Oslo - Blindern;SN18700;19.01.2025 02:00;3,2
Oslo - Blindern;SN18700;19.01.2025 03:00;2,9
Oslo - Blindern;SN18700;19.01.2025 04:00;2,8
Oslo - Blindern;SN18700;19.01.2025 05:00;2,3
Oslo - Blindern;SN18700;19.01.2025 06:00;2,1
Oslo - Blindern;SN18700;19.01.2025 07:00;1,9
Oslo - Blindern;SN18700;19.01.2025 08:00;1,8
Oslo - Blindern;SN18700;19.01.2025 09:00;1,8
Oslo - Blindern;SN18700;19.01.2025 10:00;1,6
Oslo - Blindern;SN18700;19.01.2025 11:00;1,5
Oslo - Blindern;SN18700;19.01.2025 12:00;1,4
Oslo - Blindern;SN18700;19.01.2025 13:00;1,3
Oslo - Blindern;SN18700;19.01.2025 14:00;1,5
Oslo - Blindern;SN18700;19.01.2025 15:00;1,4
Oslo - Blindern;SN18700;19.01.2025 16:00;1,3
Oslo - Blindern;SN18700;19.01.2025 17:00;1,3
Oslo - Blindern;SN18700;19.01.2025 18:00;1,3
Oslo - Blindern;SN18700;19.01.2025 19:00;1,2
Oslo - Blindern;SN18700;19.01.2025 20:00;1,2
Oslo - Blindern;SN18700;19.01.2025 21:00;1,1
Oslo - Blindern;SN18700;19.01.2025 22:00;0,8
